timestamp_ms,timestamp,open,high,low,close,volume,quote_asset_volume,last_trade_id,sample_count,open_raw,high_raw,low_raw,close_raw
1779683700000,2026-05-25 04:35:00,2097.04,2098.47,2096.73,2097.44,82.3818,172772.500289,20726153698,0,0.0,0.0,0.0,0.0
1779684000000,2026-05-25 04:40:00,2097.44,2102.05,2097.26,2101.72,626.2617,1315036.264901,20726349989,0,0.0,0.0,0.0,0.0
1779684300000,2026-05-25 04:45:00,2101.72,2103.38,2100.78,2102.74,555.4443,1167489.855952,20726558483,0,0.0,0.0,0.0,0.0
1779684600000,2026-05-25 04:50:00,2102.74,2107.14,2102.63,2104.09,358.4107,754467.5202520001,20726823652,0,0.0,0.0,0.0,0.0
1779684900000,2026-05-25 04:55:00,2104.09,2105.57,2103.51,2104.95,234.7179,494040.687725,20727011635,0,0.0,0.0,0.0,0.0
1779685200000,2026-05-25 05:00:00,2104.95,2105.79,2102.96,2105.54,182.635,384266.973727,20727242179,0,0.0,0.0,0.0,0.0
1779685500000,2026-05-25 05:05:00,2105.54,2110.15,2104.9,2107.91,216.1373,455446.898326,20727501354,0,0.0,0.0,0.0,0.0
1779685800000,2026-05-25 05:10:00,2107.91,2109.14,2107.17,2108.72,643.3173,1356585.131997,20727683757,0,0.0,0.0,0.0,0.0
1779686100000,2026-05-25 05:15:00,2108.72,2110.82,2107.65,2108.6,524.2555,1105927.8899,20727914170,0,0.0,0.0,0.0,0.0
1779686400000,2026-05-25 05:20:00,2108.6,2109.45,2106.97,2107.86,228.77519999999998,482266.76903100003,20728121773,0,0.0,0.0,0.0,0.0
1779686700000,2026-05-25 05:25:00,2107.86,2108.74,2107.12,2108.04,419.7305,884708.0646009999,20728291460,0,0.0,0.0,0.0,0.0
1779687000000,2026-05-25 05:30:00,2108.04,2109.76,2106.49,2107.44,802.6219,1692121.137984,20728517701,0,0.0,0.0,0.0,0.0
1779687300000,2026-05-25 05:35:00,2107.44,2109.85,2107.44,2108.34,621.5597,1310621.337567,20728741199,0,0.0,0.0,0.0,0.0
